Incident_ID,Date,Department,Model,Sub_Assembly,Incident_Description
24-045,2024-02-27 00:00:00,Customer Service,AS,Bike Accessories,"Flip up abductor causing skin issues due to constant rubbing on riders leg, has got to the point of an open wound and the rider can not ride until healed. Customer previously had a rifton with no issues with the abductor. Customer has provided images if the abductor showing wear marks. "
24-044,2024-02-28 00:00:00,Customer Service,DCP,Bike Drive Train,"To continue 24-024 - I have confirmed that this trike did not have a spring pin (maybe incorrect), no holes in the frame. He has now reported that the rear sprocket is not aligned and will also need to be resolved.  *mention 30 in log meet."
24-045,2024-02-28 00:00:00,Customer Service,DCP,Bike Accessories,Plunger fell out of on/off
24-046,2024-03-04 00:00:00,Customer Service,DCP,Bike Accessories,Pulley scuffing frame
24-047,2024-03-06 00:00:00,Engineering,ET,Bike Seating,"Declan notified me of a tandem front seat that was wobbling excessively on the post and seat slider. A fix of adding another self tapping screw on the seat tube was done first but it did not fix the issue. The seat slider was replaced by Jason, and he tightened all the fasteners within the system. This fixed the issue and resulted with the tandem seat having 0 wobble."
24-048,2024-03-06 00:00:00,Engineering,COC,Modular Wedge,Modular wedge foam inconsitincies (tapered part having the biggest concern)
24-049,2024-03-07 00:00:00,Customer Service,,,"5 pairs of custom trimmed footplates shipped with ratchet straps, were all suppsoed to be std molded. This order was already delayed as we didnt have enough footplates to trim. No checkmarks or highlights. "
24-050,2024-03-12 00:00:00,Sales,ASR,,Sales order submitted before CAT3 completed. In this case proposed solution changed during the CAT3 process. Manufacturing notes with subitted order are now out of date and customer was over charged on a custom solution. 
24-051,2024-03-14 00:00:00,Customer Service,ASR,,Snapping footplate - repl order with CAT3 submitted. 
24-052,2024-03-15 00:00:00,Customer Service,,Bike Accessories,"Stationary trainer missing rubber feet on arrival. When placing the order, customer specifically asked if the trainer would scratch his floor, I explained the rubber feet only for it to arrive with most of them missing. "
24-053,2024-03-15 00:00:00,Sales,,,"Engineering demo sold unbeknown to engineering & against advice it was unavailable, marked in CRM. Bike was filled with prototype components and many missing. Not safe for rider (e.g. no front brake pads). Near miss. "
24-054,2024-03-18 00:00:00,Customer Service,AS,,"Broken chrome tie rod guide, plastic insert broken and slipping out. "
24-055,2024-03-18 00:00:00,Sales,ASR,,"ASR2011-HD order modified post-CPQ to include 24"" wheels. 24"" wheels not available for HD, not permitted in CPQ. "
24-056,2024-03-21 00:00:00,Customer Service,,,Castors damaged on delivery 
24-057,2024-03-22 00:00:00,Customer Service,,,Parts order changed in GP but invoiced before changed in CRM. The information is now incorrect in CRM. 
24-058,2024-03-22 00:00:00,Assembly,EHDU,,Frames are not properly inspected by shippers upon receiving from vendor. Paint is uneven that often times it has to be covered with decals
24-060,2024-03-28 00:00:00,Customer Service,ASR,Bike Drive Train,Motion Mississauga - Slipping rear sprocket
24-061,2024-04-01 00:00:00,Customer Service,DCP,,ratchet strap harware fell out and missing
24-062,2024-04-01 00:00:00,Customer Service,ASR,,ratchet strap harware fell out and missing
24-063,2024-04-01 00:00:00,Customer Service,DCPMini,Bike Steering,"Mini tie rod approx. 1/2"" too long in assembly. tie-rod matches drawing to ~1/8 o.a.l. Frame measures o.k. Cause unidentified. Bent tie-rod to fit. "
24-065,2024-04-01 00:00:00,Customer Service,ASR,Bike Drive Train,Bottom bracket keeper unthreaded itself - Motion Mississauga trike
24-066,2024-04-03 00:00:00,Customer Service,DCP,Bike Accessories,Customer recieved new trike with hoop jogging handle unattached however no instructions or image which shows how it attaches or orientates. 
24-067,2024-04-03 00:00:00,Customer Service,EHDU,Bike Seating,"i2i not showing when selected in the config, attempted different configuations but would not populate in the parts summary."
24-068,2024-04-04 00:00:00,Customer Service,AS,Multiple,"Installed an i2i for Shamrock school, the trike was brough to FCI for repair. There were two issues with this repair. The i2i which was installed had loose hardware for the hinges, as soon as I tightened up the hinges the headrest was good. Second issue was the girl could not ride the trike since coming back from spring brake and after we installed the i2i, she was having to reach too far and was way past her full extension while her feet were strapped into the pedals. When I was at the school I helped adjust the trike so the girl could ride again. I don't know for sure, but I suspect that when we installed the i2i we raised the seat height and was never put back to the correct position. When we are working on the trikes, the seating and setup needs to be set the the same place as when it came in. "
24-069,2024-04-04 00:00:00,Customer Service,DCP,Bike Brakes,"Rear steer brake lever pin not engauging. Speaking with tech says pin not fully holding. After speaking with him further it was determined that the lever was not bent and hitting the rear steer handle. I tried to get him to bend it, he would not. Submitted warranty parts order. "
24-070,2024-04-05 00:00:00,Customer Service,,,"Two parts orders shipped to Motion Burnaby - advised parts orders were not found or delivered. Our UPS tracking information showed the orders were delivered. This vendor warehouse is shared between a few businesses. The orders shipping labels at attn: but the attn employee is no longer working with this branch, but she does share the warehouse causing confusion. No attn: notes were on either of the parts orders in the manf notes or footnotes. One thing that was noted and changed, Ashley Sakelariou  was listed as a primary contact in CRM but is no longer. "
24-072,2024-04-05 00:00:00,Customer Service,AS,Bike Drive Train,"AS2000 chain rubbing against chain guard, found two issues. 1 - Some of the hardware used to secure the enclosed chain guard was too long and contacting the chain under load or a change pedal direction.   2 - The bottom bracket was loose and under a load would shift/ rock from side to side. All 6 fasteners were a little more than finger tight, maybe 15 ft lb. The inside of the chain guard had ware marks from where the chain and chain ring were rubbing."
24-073,2024-04-16 00:00:00,Customer Service,,,"Customer recieved trainer and throught he was missing rollers. No instructions were sent with the trainer and he did not know what was supposed to be included or how to use it. Can we please get a instruction decal, or part number I can bill instructions out?"
24-074,2024-04-16 00:00:00,Customer Service,Chill-Out Chair,,"Broken locking castors on arrival, replacement order submitted"
24-075,2024-04-17 00:00:00,Customer Service,,,AS2000 shipped to funder 2 instead of funder 1. Address are correct in CRM however shipping docs have it shipped to funder 2. We are trying to re route so it does not deliver to Make-A-Wish's head office. 
24-076,2024-04-19 00:00:00,Customer Service,,,Leg brace video on our site is 11 years old and shows old part. Trying to show an example of how our leg braces looks and function however need current product to show.  https://www.youtube.com/watch?v=kBv83e-dKR8
24-077,2024-04-19 00:00:00,Customer Service,ASR2011,Bike Accessories,"Ratcheting extended straps failed on both sides, images attached"
24-078,2024-04-22 00:00:00,Production,DCP16,Multiple,"DCP was brought back to assembly with many things to fix, a crooked T-Bar was not fixed so it was brought back again. after 4th time of it being brought back to shipping it still was not corrected. i had to fix the Tbar myself."
24-079,2024-04-22 00:00:00,Customer Service,,,"Incorrect tracking number on CRM invoice - tracking number on hand written order was correct, incorrect in CRM. "
24-080,2024-04-22 00:00:00,Customer Service,,,"Parts order for four extended ratchet straps, we sent a complete pair XL ratchet footplates. "
24-081,2024-04-23 00:00:00,Customer Service,,,"James Sold Demo Chair, Demo File exists however chair is missing RL221M149"
24-082,2024-04-24 00:00:00,Customer Service,ASR,Bike Accessories,"Snapped footplates - was just replaced March 14th. I spoke with worker at the school, the girl riding the trike was no more than 100lb and less than average strength. The worker said he throught it was due to the footplates hitting the ground and cauing the rear of the bike to jump while pushing it, can only take so many of those until they crack. He has also mentioend how the girl was not only pushing down to pedal, but was also pulling up with her foot which was a bit unsusal. "
24-083,2024-04-25 00:00:00,Customer Service,ASR,Bike Drive Train,Motion mississauga - loose and broken spokes po 585895
24-084,2024-04-26 00:00:00,Customer Service,,COC Accessories,"Top quick release on new tray would not tighten, likely stripped quick release"
24-085,2024-04-26 00:00:00,Customer Service,,,Bike tipped over while riding on an incline. I will be visiting the school to find more information. 
24-086,2024-04-30 00:00:00,Customer Service,AS,Bike Seating,Failed weld / material @ top weld of seatframe. Was replaced Jan 2024 under warranty for the exact same issue. 
24-087,2024-04-30 00:00:00,Customer Service,ASR,Bike Accessories,Incorrect hub sent on parts order. Should have recieved 5 speed rather however recieved 3 speed. 
24-088,2024-04-30 00:00:00,Customer Service,Chill-Out Chair,COC Cover,Busted zipper on COC
24-089,2024-05-01 00:00:00,Customer Service,,,"Incorrect SN format for O24-21402 on invoice, not able to search for trike by SN. Do we know the correct SN and can it be changed in CRM?"
24-090,2024-05-02 00:00:00,Customer Service,AS,Bike Accessories,"AS2000 demo - ""footplates knock against the front tire when making a slight turn """
24-091,2024-05-02 00:00:00,Customer Service,,,"Cat 3's still being filed under 2024 (minor) & can we get a fillable field for a SN?  “If you would like to reference the quote, please reference it through the link from the first e-mail in this chain (I think some of the file paths got crossed, and the quote in the 2024 folder is empty, and the filled-out quote has ended up in the 2022 folder)”"
24-092,2024-05-02 00:00:00,Customer Service,,,Footplate mounting locations are different for pedals than foot supports causing increased costs for end users. Is it possible for the foot platforms to use the same hole locations as the aluminum pedals?
24-093,2024-05-02 00:00:00,Customer Service,ET,Multiple,"ET2611 demo arrived with a damaged rear chain ring, DNF was not shiftin into N, needed cable adjustment, battery seal not installed correectly and would not seal from moisture as is. This is a new demo for a new dealer of Evans, poor first impressions of our product. "
24-094,2024-05-02 00:00:00,Customer Service,,,Short shipped wood screws on parts order
24-095,2024-05-03 00:00:00,Customer Service,ASR,,Kevin w/ Velofix reported to a school that one of our trikes was unsafe to ride due to the rear brakes being too small / not making full pad contact to the rotor. He claims the bracket was not installed correctly causing the pad to not sit correct on the rotor. 
24-096,2024-05-09 00:00:00,Customer Service,AS,,"RS nut at bottom gone missing, likely loosened and fell off. "
24-097,2024-05-10 00:00:00,Customer Service,AS,,Newly installed i2i has pulled out of backrest. This is the second issue with this i2i install. 
24-098,2024-05-10 00:00:00,Customer Service,AS,,"RS tube off center on new trike, also the rear steer tube comes up and inbetween the tbar grips. "
24-099,2024-05-10 00:00:00,Customer Service,DCP,Bike Frame,Mini - Broken frame
24-100,2024-05-13 00:00:00,Engineering,EHDU,Bike Brakes,EHDUs coming through with incorrect configurations: Bar end pedals allowing brake calipers
24-101,2024-05-13 00:00:00,Engineering,EHDU,Bike Brakes,"EHDUs coming through with incorrect configurations: regular seatbase when it should have been a bench seat, regular low back with a chest harness when it should have been a high back with cutaways "
24-102,2024-05-13 00:00:00,Engineering,EHDU,Bike Brakes,"EHDUs coming through with incorrect configurations: Regular seatbase when it should have been a bench seat, bar end handlebars when it should have been t-handles to accomodate for the brake caliper"
24-103,2024-05-13 00:00:00,Engineering,EHDU,Bike Brakes,EHDUs coming through with incorrect configurations: Bar end handlebars when it should have been T-handles to accomodate for the brake caliper
24-104,2024-05-13 00:00:00,Engineering,EHDU,Bike Brakes,EHDUs coming through with incorrect configurations: Bar end handlebars when it should have been T-handles to accomodate for the brake caliper
24-105,2024-05-14 00:00:00,Customer Service,ASR2011,Bike Accessories,"Order requested lg footplates, mediums were too small for her heel. We removed her old mediums and installed new mediums instead of the large on order. She was not able to properly use her trike for the CP bike race, this was the main reason it came to us for repair. I have opened a new RO to resolve. "
24-106,2024-05-14 00:00:00,Customer Service,ET,,ET2611 lasted 10 feet before the chain broke. Customer also tried to adjust rear handlebars but the nut would just spin and spin. 
24-107,2024-05-14 00:00:00,Customer Service,AS,,"Order shipped with incorrect chain guard and no spoke covers. GP change was made 04/19, bike shipped 05/10. GP changes were done correctly with emails sent. No QC in the file. "
24-108,2024-05-15 00:00:00,Production,,,"Parts order asks for 2112312 Kit (wheel kit HD bolt on 20"") which comes with 2 solid bolt on tires and one alluminum front rim. The parts order did not come with any specifications on what tire should be put on the rim so i questioned it. Turns out the customer requested 3 solid tires. If i was to send out this parts order as it was ordered they would be receiving a front wheel with no tire or tube. "
24-109,2024-05-22 00:00:00,Production,ASR,Bike Steering,John advised ~3 rear steer add-on tubes for ASRs have mis-aligned rear steer tubes - handle doesn't fit through bottom set of bearings
24-110,2024-05-22 00:00:00,Customer Service,,,Short shipped quick releases 
24-111,2024-05-23 00:00:00,Customer Service,,,Short shipped ball joint nuts on tie rod order
24-112,2024-05-27 00:00:00,Customer Service,ASR,Bike Drive Train,"On/off seperated, was just installed 03/15/24 - Trike is located on First Nation and may need airlift"
24-113,2024-06-04 00:00:00,Customer Service,Chill-Out Chair,COC Foam,T.E.C. foam issue on RL223X042 - it has seperated
24-114,2024-06-04 00:00:00,Customer Service,,,Electric assist on tandem not strong enough to get up hill / inclined drive way
24-115,2024-06-05 00:00:00,Customer Service,AS,Bike Steering,Rear steer interferes with RS handle and hitting tbar grips. QC was performed however the checklist does not include rear steer functionality. 
24-116,2024-06-06 00:00:00,Customer Service,,,Decal on rear steer tube twisted and peeling on delivery. 
24-117,2024-06-07 00:00:00,Customer Service,,,"Bike recieved with one lateral missing, and the other zip tied to the bike frame. Sent replacement. "
24-118,2024-06-07 00:00:00,Production,ET,Bike Frame,Bearing Plate bent on tandem after paint - handling damage
24-119,2024-06-07 00:00:00,Customer Service,ASR,Bike Drive Train,Spinning rear sprocket gouged rear axle
24-120,2024-06-07 00:00:00,Customer Service,AS,Bike Drive Train,Bottom bracket plate cracked - ordered replacement. 
24-121,2024-06-10 00:00:00,Customer Service,,,No instructions sent with stationary trainer
24-122,2024-06-10 00:00:00,Customer Service,ASR,Bike Accessories,"XL footplates on ASR2011 heel hitting ground while riding, Larry not able to deliver. New footplate mounting location too far forward on aluminum pedal. Repl order submitted"
24-123,2024-06-11 00:00:00,Customer Service,ASR,Bike Accessories,"Cracked footplate on ASR2011 - had footplates mounted in new location farther forward on pedal, replaced with old positioning. The rider had both heel straps removed, only had toe straps installed w/ leg braces and may have led to failure. Footplates appeared to be old thicker style. "
24-124,2024-06-11 00:00:00,Customer Service,DCP,Bike Drive Train,Chain loose on new DCP demo
24-125,2024-06-13 00:00:00,Customer Service,,,Parts order shipped to hospital instead of repair shop - part went missing - found but delayed repair on demo. 
24-126,2024-06-17 00:00:00,Customer Service,,,"Parts order short shipped four ratchet strap pads, and rear pulley string frame clamp. "
24-127,2024-06-17 00:00:00,Customer Service,DCP,Bike Seating,DCP HB seatframe fail
24-128,2024-06-17 00:00:00,Customer Service,DCP,Bike Accessories,Trike arrived with missing mount for sunshade canopy - replacement parts order to follow. 
24-129,2024-06-17 00:00:00,Customer Service,,,"DCP12 - trike would not move, found brake mounting plate contacting front tire due to fork brackets neeing to be repositioned. they were still very firm on the fork but over time must have moved. I have images on my phone if needed. "
24-130,2024-06-18 00:00:00,Customer Service,DCP,,LH wheel bent on delivery - parts order and need to find shop. 
24-131,2024-06-18 00:00:00,Customer Service,,,Fork bent on delivery - parts order and need to find shop. 
24-132,2024-06-18 00:00:00,Customer Service,ASR,Bike Accessories,ABF refused to pick up electric assist trike due to proforma & shipping docs etc not correct for lithium ion battery. Trike coming back to FCI for repair
24-133,2024-06-19 00:00:00,Customer Service,ET,Bike Drive Train,Front wheel and possible fork damaged on delivery - refused shippment and likely returning to FCI
24-134,2024-06-19 00:00:00,Customer Service,ET,Bike Drive Train,Incorrect bottom bracket ordered / picked 
24-135,2024-06-19 00:00:00,Customer Service,ET,Bike Steering,ET2611 sold demo arrived with rear steer pulley spinning on shaft - need to transport to bike shop
24-136,2024-06-21 00:00:00,Customer Service,AS,Bike Drive Train,Slipping sprocket & gouged axle  2412542 5012011   po357192
24-137,2024-06-21 00:00:00,Customer Service,AS,Bike Drive Train,Failed bottom bracket clamshell
24-138,2024-06-21 00:00:00,Customer Service,DCP,Bike Frame,DCP12 - snapped spud
24-139,2024-06-24 00:00:00,Customer Service,ASR,,"all three tubes going flat on ASR2011. I have seen this on a few other trikes, the tires being used are too small for these rims and it causes the inner tube to shift to the side which damages the valve. I am not sure what the resolution is, new wheels or tires. "
24-140,2024-06-24 00:00:00,Customer Service,,Bike Accessories,"Tablet holders not adequate. Does not work with all size tablets, fits loose, hinge cracks very easy, does not work with tablet in vertical orientation. "
24-141,2024-06-24 00:00:00,Customer Service,,,"HD sprocket will not fit over axle. Tech with Motion Hamilton could get the first half slid over the axle but said that it would not fully. Tried using some force to get it on, but it got stuck half way and needed hammered off. Oral will reinstall the original sprocket and hope it works for the rider. (this is the second HD sprocket this has happened with, can they be tested before shipping?)"
24-142,2024-06-26 00:00:00,Customer Service,,Bike Accessories,Footplates cracking around tuck loop tab  2012044
24-143,2024-06-26 00:00:00,Customer Service,DCP,Bike Frame,Snapped mini frame
24-144,2024-06-26 00:00:00,Customer Service,ASR,Bike Seating,"Incorrect backrest installed on trike, got 18"" instead of 22"" - Motion Mississauga order"
24-145,2024-07-02 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,Chair transport cover short shipped - sent replacement. 
24-146,2024-07-02 00:00:00,Customer Service,DCP,,"Trike arrived with damaged rhr wheel, broken spokes. "
24-147,2024-07-02 00:00:00,Customer Service,DCP,Bike Seating,"Trike arrived with a damaged seat, sunshade canopy and backrest ext"
24-148,2024-06-02 00:00:00,Customer Service,ASR,Bike Seating,Failed ASR HD seatframe - was replaced in January due to other warranty repairs on trike. 
24-149,2024-06-02 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"Both 5"" locking casters failed - one never locked and the other only locked one time. "
24-150,2024-06-02 00:00:00,Customer Service,Chill-Out Chair,COC Foam,"Custom ottoman too short to be used with chair. Appears that 5"" caster wheels were not taken into account when designing the ottoman height. - resolved with ottoman support kit. "
24-151,2024-07-04 00:00:00,Customer Service,,,"Bikes received with out chest harness, parts where on the order, no serial# photo uploaded to confirm."
24-152,2024-07-04 00:00:00,Customer Service,,,"Bike was shipped early, request was sent to delay production"
24-153,2024-07-04 00:00:00,Customer Service,,,"Custom headrest order was submitted on 05/14 with 06/07 ESD. Customer asked for an update on the order on the 21st as we were a few weeks over due. I was told that the item will ship Monday 24th and I provided the customer with the new ESD. Part did not actually ship until July 3rd, almost a month past ESD. "
24-154,2024-07-04 00:00:00,Customer Service,AS,Bike Drive Train,"On/off on Tony Campuzano's trike wobbling after a short period of time - customer txted Mike a video too large to upload. Has yet to fail, waiting for Dirk to return from holidays to determine best way to resolve.No image in the file folder. "
24-155,2024-07-05 00:00:00,Customer Service,,,"Almost miss with Flyers trike. We had an approved EOR, correct shipping dates and must ship by dates in CRM on the order. One error was writing a 'ship to' but not 'arrive by' on the outside of the file folder. EOR did not take July 1st and July 4th into consideration when approving the EOR. This trike was supposed to be presentated by the Phila Flyers, Larry had to courier the trike several states to get it to the destination on time."
24-156,2024-07-05 00:00:00,Customer Service,ET,Bike Accessories,"ET2611 w/ electric assist not functioning. 3 throttle lights illuminated and stay lit when throttle is pressed, but front motor does not turn. Checked plug for throttle, brake lever, and made sure loom was not interfering with brake lever. I am having to courier this tandem either back to FCI or Strauss to diagnose and repair. During QC, was found the trike was missing loom and was given back to the tech to install. Bike shipped back to FCI for repair."
24-157,2024-07-05 00:00:00,Customer Service,,,"parts order past ESD, checked with Troianne and was not recieved / printed in production, however order is on the parts production board. Rock next quarter to work and develop way to ensure parts orders are being recieved. "
24-158,2024-07-08 00:00:00,Customer Service,EHDU,Bike Brakes,EHDU20 has a very long brake cable interfeering with trike operation - smacking kid in the face as he rides. Missing two zip ties mounted to the chrome bar below the crank. Missing in SN photo too. 
24-159,2024-07-08 00:00:00,Production,AS,Bike Frame,"at least 3x AS2600 frames w/ front frame support stay welded in AS2000 position, interefering with bottom bracket adjustment range"
24-160,2024-07-10 00:00:00,Customer Service,ASR,Bike Frame,"Motion Mississauga - We received two ASR2011s (HD's) that unfortunately do not account for any growth for the kiddos. The quote/order forms specified the kiddos have a 34” and 37” inseams. The trikes at the largest only go to 34”. All of the information we have been provided, on evals and on config all state up to 38"" inseam range. "
24-161,2024-07-11 00:00:00,Customer Service,,,"Account attn: to on accounts being changed. In CRM is correct, on the pick ticket extra information is being added causing a lost shipment. "
24-162,2024-07-12 00:00:00,Customer Service,ASR,,"Motion Mississauga - ASR2011HD has a failed brake cable, more information to follow. "
24-163,2024-07-08 00:00:00,Customer Service,EHDU,Bike Brakes,EHDU20 has a very long brake cable interfeering with trike operation - waiting for SN - additional info from 24-158
24-164,2024-07-16 00:00:00,Customer Service,,,ET2611 tensioner short shipped on O24-22672-T1D4 - this trike has had multipul parts related issues and has delayed repair by about a monh. 
24-165,2024-07-16 00:00:00,Customer Service,,,No instructions sent with axle.
24-166,2024-07-17 00:00:00,Customer Service,,Bike Accessories,"Bike tray mounts do not line up with handlebars, likely drilled and installed in the wrong spot. "
24-167,2024-07-17 00:00:00,Customer Service,,Bike Seating,"COC shipped with no center hole for pelvic belt which was also on the order. Chair cover was shipped back to FCI to with a manf note ""Ottoman cover missing middle pelvic strap hole, returned to be repaired"". Recieved an email and image showing the 'repaired' cover is still missing the pelvic belt hole. Upholstery time sheet had no QC or checks. This chair shipped on 05/06 and still not able to be used by the owner due to repeated mistakes."
24-168,2024-07-18 00:00:00,Customer Service,DCP,,DCP16 arrived with freight damaged. 
24-169,2024-07-22 00:00:00,Customer Service,,,"Footplates trimmed too long, was 11.75 instead of 10.75 - part being returned so we can confirm if needed."
24-170,2024-07-22 00:00:00,Customer Service,,,Parts order shipped to incorrect address. UPS label has customer's old address as it looks like it was never updated.
24-171,2024-07-23 00:00:00,Customer Service,,,"SN photo faulty, I really needed to see the accessories in this photo as the customer believes she is missing something. "
24-172,2024-07-23 00:00:00,Customer Service,,,AS2600 backrest ext damaged in transit. Sent repl order.  11582218
24-173,2024-07-24 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"Rocker base sent with new chair order unassembeled, and when trying to assemble noticed the hole for the handle is off center and the handle is not able to be secured into place. "
24-174,2024-07-24 00:00:00,Customer Service,DCP,Bike Seating,Demo move arrived damaged - replacement seatback order submitted. 
24-175,2024-07-25 00:00:00,Production,ASR2011-HD,Bike Steering,Rear steer cable crimp slipped
24-176,2024-07-26 00:00:00,Customer Service,,,Lateral tracks and hardware not shipped with lateral parts order. 
24-177,2024-07-29 00:00:00,Customer Service,ASR,Bike Accessories,"Conclusion to 24-156 - trike shipped back to FCI for electric assist diag, controller was programmed to 48v. This also means the electric assist was not likely tested before shipping as indicated on the QC. "
24-178,2024-07-30 00:00:00,Customer Service,ET,Bike Drive Train,"Chain coming off. asked for photos as there is none in the SN file, hoping the stationary tensioner will resolve. "
24-179,2024-07-30 00:00:00,Customer Service,,Bike Accessories,"Customer not able to connect to blue tooth, overall tried 4 different phones including my own. When trying to connect, GM will show up in the list and after selecting the icon will stay blue for about 5 seconds but no values populate in the app. Switched to known good LingBo dongle and connected first attemp with everything functioning. "
24-180,2024-07-31 00:00:00,Customer Service,AS,Bike Accessories,Rear steer tube decal peeling on newly delivered trike. Have we tried adhesion promoter?
24-181,2024-07-31 00:00:00,Customer Service,AS,Bike Accessories,Footplates snapped on newly delivered trike
24-182,2024-08-01 00:00:00,Customer Service,Chill-Out Chair,,No SN photo 
24-183,2024-08-01 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"According to Make-A-Wish IA, Chair was shipped with tray unassembeled and no instructions. Not sure how it was shipped as no SN photo making it more difficult to assist."
24-184,2024-08-01 00:00:00,Customer Service,Parts,,"UPS unable to clear parts through customs due to missing commercial invoice, was provided a tracking number from ups. Searching, the tracking number is not listed on any CRM order. I searched through the paper copies which have been returned to me looking for that tracking number but was not able to find. If possible, can the CS team be provided tracking numbers at the time freight is picked up rather than invoiced?"
24-185,2024-08-06 00:00:00,Customer Service,ASR,,"Related to 24-156 & 24-177 - The trike was shipped back to FCI for a warranty repair, the customer also requested the throttle to be repositioned. I changed the order in GP, emailed production, and added notes to CRM. I will likely now have to have the trike couriered to a bike shop to resolve. "
24-186,2024-08-08 00:00:00,Customer Service,ASR,Bike Accessories,"Motion Mississauga issue - Belt detatched from backrest. According to John, the plastic mounting plate snapped in half and screw holes were very close to the edge. "
24-187,2024-08-08 00:00:00,Customer Service,ASR,Bike Steering,Motion Mississauga issue - RS cable snapped - unresolved.
24-188,2024-08-13 00:00:00,Customer Service,Parts,,Parts order shipped to wrong location (looks to be a UPS issue) 
24-189,2024-08-13 00:00:00,Customer Service,Parts,,"Parts order missing chain and sprocket, only wheel assembly was shipped. No check marks or highlights on paperwork to indicate what was picked / shipped. Replacement parts order air freight rush. "
24-190,2024-08-14 00:00:00,Customer Service,,," As per sales, we had to change the shipping address on 4 parts orders now being shipped to the rep. Orders were still in a submitted status with an ESD of 08/19. Elaine informed me that those orders had already shipped. I will now have to change the 4 orders back again taking a lot of time. Great that we are ahead shipping, but the flow of information needs to be improved. "
24-191,2024-08-14 00:00:00,Customer Service,AS2000,,Bottom bracket cracked
24-192,2024-08-14 00:00:00,Customer Service,Parts,,"Parts order shipped to incorrect address. Info is all correct in CRM and pick ticket but incorrect info submitted to UPS. This exact same thing happened with this same customer on incident 24-020, customer wanted to speak with the shipping department as he was so frustrated, obviously I did not pass along the call. "
24-193,2024-08-15 00:00:00,Customer Service,Parts,,"Related to above, customer had someone down the street bring over the package however it was missing the sprocket and the package only contained the set screws. Pick ticket etc had no check marks or anything indicating what was picked and sent, either a miss pick or packaging issue. "
24-194,2024-08-19 00:00:00,Production,AS,,AS2000 rear steer mounting plate on frame welded not aligned with frame
24-195,2024-08-20 00:00:00,Production,,,"DCP 5"" b.b Position need Longer ChainGuard Plus 2""in standard DCP Chainguard."
24-196,2024-08-20 00:00:00,Customer Service,,,Need a method to identify odd bottom brackets. For a short period of time we used a different BB shell and requires a special modified BB to fit. How do I know when this applies?
24-197,2024-08-21 00:00:00,Customer Service,,,SN photo missing
24-198,2024-08-21 00:00:00,Customer Service,AS,2180001,Seat frame - top weld failure - adult HB. 
24-199,2024-08-22 00:00:00,Customer Service,,,SN photo missing
24-200,2024-08-22 00:00:00,Customer Service,,,SN photo missing
24-201,2024-08-23 00:00:00,Customer Service,Parts,,Order past ESD - spoke with Elaine regarding this order on Aug 12th. Aug 23rd I asked when these parts were going to ship as they are past ESD. Production is now advising they had not recieved the order causing the delay. The order is on the parts production board. 
24-202,2024-08-23 00:00:00,Customer Service,AS,2240585,Spacers and gloves not with delivered trike. SN photo too fuzzy to see spacers.
24-203,2024-08-26 00:00:00,assembly,ASR16NRW,,"Order 23240 frame missing centering spring tab, had to fab bracket as frame is painted"
24-204,2024-08-27 00:00:00,Customer Service,Chill-Out Chair,,COC arrived damaged
24-205,2024-08-27 00:00:00,Customer Service,Defier,,Electric assist app will not connect via bluetooth - unresolved. 
24-206,2024-08-27 00:00:00,Customer Service,Parts,,"Order 23426 Chest harness was selected, we sent chest strap  "
24-207,2024-08-27 00:00:00,Customer Service,,,"Bike recieved with dog horn, customer requested unicorn. Quote and order were not changed however the invoice had the horn switched. Unicorns are out of stock, customer should have been asked which replacement horn they would prefer. "
24-208,2024-08-28 00:00:00,Assembly,,, 2 DCP frames from ACS in candy blue have a very poor finish
24-209,2024-08-28 00:00:00,Production,,,Parts order for 2 Nylock Nuts that ask for instructions. No info on what these nuts are being used for therefore cannot send instructions for 2 nuts. Not the first parts order to request instructions for an item that doesnt need or we have no information on use of item.
24-210,2024-08-29 00:00:00,Customer Service,Parts,Bike Accessories,"While installing leg braces, RH leg brace was provided to me with all of the parts assembeled, installed on the trike well. The LH leg brace was provided to me with the stainless steel part not fitted to the leg brace or pedal plate. When I went to assemble the LH side, the stainless steel portion would not fit into the pedal plate, there was some welding spatter on the inside preventing the two pieces from fitting together. Also the upper calf portion was extremely tight on the stainless piece and would not adjust up and down. I was able to free it up enough by forcing it on and off multipul times. "
24-211,2024-08-30 00:00:00,Customer Service,,Bike Steering,"Snapped RS cables on another Motion ASR, different trike than mentioned above however both are at the same school & both invoiced in June. "
24-212,2024-08-30 00:00:00,Customer Service,,,"No Sn Photo, needed to verift correct push bar on trike. "
24-213,2024-08-30 00:00:00,Customer Service,,,No Sn Photo
24-214,2024-08-30 00:00:00,Customer Service,ET,Bike Drive Train,ET2611 8 speed hub sprocket bolts sheered off on first ride. Mom says was very difficult to pedal and then sheered. 
24-215,2024-08-30 00:00:00,Customer Service,ET,Bike Steering,"ET2611 (same as above) rear steer cables have a ton of slack and hanging down low, trike has only gone for one very short ride before having an issue"
